anggota_kk,pendapatan,kondisi_rumah,sumber_air_minum,akses_listrik,kepemilikan_aset,pekerjaan,status_kepemilikan_rumah,penghasilan_dibawah_ump,aset_produktif,akses_pendidikan,akses_kesehatan,akses_sanitasi,akses_listrik_ump,rumah_tidak_layak_huni,skor_kemiskinan,kategori_asesmen,rekomendasi_bantuan
7,6316033,Semi Permanen,Sungai,Tidak Ada,Tidak Ada,Pegawai Swasta,Kontrak,0,1,0,0,1,1,0,20,Tidak Miskin,Tidak Layak Menerima
2,1304719,Semi Permanen,Sungai,Tidak Ada,Ada,Petani,Sewa,1,0,1,1,0,1,0,55,Miskin,PKH
8,8343856,Semi Permanen,Sungai,Tidak Ada,Ada,Pegawai Swasta,Milik Sendiri,0,0,1,1,1,1,0,25,Tidak Miskin,Tidak Layak Menerima
6,4808500,Semi Permanen,Sumur,PLN,Tidak Ada,Pedagang Kecil,Sewa,0,1,1,1,1,0,0,30,Rentan Miskin,BLT
6,995879,Semi Permanen,Sungai,Listrik Non-PLN,Tidak Ada,Pedagang Kecil,Kontrak,1,0,0,0,0,0,0,70,Sangat Miskin,Bantuan Sembako
5,3467550,Tidak Permanen,Sumur,Tidak Ada,Ada,Buruh Harian Lepas,Sewa,1,0,1,1,0,1,1,80,Sangat Miskin,Bantuan Sembako
3,3415725,Tidak Permanen,Sumur,Listrik Non-PLN,Ada,Pegawai Swasta,Milik Sendiri,1,0,0,1,1,0,1,70,Sangat Miskin,Bantuan Sembako
4,2908978,Semi Permanen,PAM,Tidak Ada,Ada,Petani,Milik Sendiri,1,0,0,1,1,1,0,40,Rentan Miskin,BLT
2,5619200,Permanen,Sungai,PLN,Tidak Ada,Pedagang Kecil,Milik Sendiri,0,0,0,1,1,0,0,30,Rentan Miskin,BLT
3,9721961,Permanen,Sumur,PLN,Tidak Ada,Pedagang Kecil,Milik Sendiri,0,0,1,1,1,0,0,30,Rentan Miskin,BLT
6,7762461,Permanen,Sumur,Tidak Ada,Tidak Ada,Pedagang Kecil,Milik Sendiri,0,0,1,1,0,1,0,35,Rentan Miskin,BLT
3,8766164,Semi Permanen,Sungai,Tidak Ada,Tidak Ada,Petani,Sewa,0,0,0,0,1,1,0,25,Tidak Miskin,Tidak Layak Menerima
8,2066802,Permanen,Sumur,PLN,Ada,Pedagang Kecil,Milik Sendiri,1,0,1,1,1,0,0,55,Miskin,PKH
6,3078570,Permanen,Sungai,Tidak Ada,Ada,Pedagang Kecil,Milik Sendiri,1,1,0,1,1,1,0,35,Rentan Miskin,BLT
1,5916300,Semi Permanen,Sungai,Tidak Ada,Ada,Petani,Sewa,0,0,0,0,0,1,0,35,Rentan Miskin,BLT
2,931613,Permanen,PAM,Listrik Non-PLN,Ada,Pegawai Swasta,Sewa,1,0,0,0,0,0,0,65,Miskin,PKH
5,4477628,Semi Permanen,Sumur,Listrik Non-PLN,Ada,Buruh Harian Lepas,Sewa,1,1,0,1,0,0,0,60,Miskin,PKH
2,1051615,Tidak Permanen,PAM,PLN,Tidak Ada,Buruh Harian Lepas,Kontrak,1,0,1,1,0,0,1,85,Sangat Miskin,Bantuan Sembako
6,5031424,Tidak Permanen,Sungai,PLN,Ada,Pegawai Swasta,Kontrak,0,0,1,1,0,0,1,70,Sangat Miskin,Bantuan Sembako
8,6049974,Tidak Permanen,Sungai,Tidak Ada,Ada,Pedagang Kecil,Kontrak,0,0,0,0,0,1,1,60,Miskin,PKH
7,5011660,Semi Permanen,PAM,Tidak Ada,Ada,Petani,Sewa,0,1,0,0,0,1,0,30,Rentan Miskin,BLT
3,1990065,Tidak Permanen,PAM,PLN,Tidak Ada,Buruh Harian Lepas,Milik Sendiri,1,0,1,1,1,0,1,70,Sangat Miskin,Bantuan Sembako
4,1708389,Tidak Permanen,PAM,Tidak Ada,Ada,Petani,Kontrak,1,1,1,1,0,1,1,65,Miskin,PKH
8,2376893,Semi Permanen,Sungai,Tidak Ada,Ada,Pegawai Swasta,Sewa,1,0,0,1,1,1,0,50,Miskin,PKH
3,3157512,Tidak Permanen,PAM,Tidak Ada,Tidak Ada,Pegawai Swasta,Sewa,1,1,0,0,0,1,1,65,Miskin,PKH
8,8409978,Permanen,Sungai,Tidak Ada,Ada,Buruh Harian Lepas,Sewa,0,1,0,0,0,1,0,30,Rentan Miskin,BLT
3,7630530,Tidak Permanen,Sumur,Tidak Ada,Tidak Ada,Petani,Milik Sendiri,0,1,1,0,0,1,1,40,Rentan Miskin,BLT
6,2484707,Semi Permanen,Sungai,PLN,Tidak Ada,Petani,Kontrak,1,0,0,0,0,0,0,70,Sangat Miskin,Bantuan Sembako
8,9735722,Tidak Permanen,Sungai,Tidak Ada,Tidak Ada,Pegawai Swasta,Sewa,0,1,1,1,1,1,1,40,Rentan Miskin,BLT
1,8648492,Tidak Permanen,Sungai,Listrik Non-PLN,Tidak Ada,Petani,Kontrak,0,1,1,1,0,0,1,55,Miskin,PKH
4,3806064,Semi Permanen,PAM,PLN,Tidak Ada,Buruh Harian Lepas,Milik Sendiri,1,0,0,0,1,0,0,50,Miskin,PKH
8,1373157,Tidak Permanen,Sungai,Tidak Ada,Ada,Pedagang Kecil,Sewa,1,0,0,0,1,1,1,70,Sangat Miskin,Bantuan Sembako
4,2477455,Semi Permanen,PAM,Tidak Ada,Tidak Ada,Pedagang Kecil,Milik Sendiri,1,0,0,0,1,1,0,40,Rentan Miskin,BLT
4,5257280,Tidak Permanen,PAM,PLN,Tidak Ada,Pedagang Kecil,Sewa,0,1,0,0,1,0,1,45,Rentan Miskin,BLT
6,4241743,Permanen,Sumur,Tidak Ada,Ada,Buruh Harian Lepas,Kontrak,1,0,0,0,1,1,0,50,Miskin,PKH
3,5382723,Semi Permanen,PAM,PLN,Tidak Ada,Pedagang Kecil,Milik Sendiri,0,0,0,1,0,0,0,40,Rentan Miskin,BLT
2,9228734,Tidak Permanen,PAM,Tidak Ada,Tidak Ada,Pegawai Swasta,Kontrak,0,1,0,0,0,1,1,45,Rentan Miskin,BLT
4,4455715,Tidak Permanen,PAM,Tidak Ada,Tidak Ada,Pegawai Swasta,Kontrak,1,0,0,0,0,1,1,75,Sangat Miskin,Bantuan Sembako
1,9962970,Tidak Permanen,PAM,Tidak Ada,Ada,Buruh Harian Lepas,Sewa,0,0,1,1,1,1,1,45,Rentan Miskin,BLT
2,3324176,Tidak Permanen,Sumur,PLN,Tidak Ada,Pegawai Swasta,Sewa,1,1,0,0,0,0,1,75,Sangat Miskin,Bantuan Sembako
8,6963278,Semi Permanen,PAM,PLN,Ada,Buruh Harian Lepas,Sewa,0,1,0,1,1,0,0,30,Rentan Miskin,BLT
7,1082902,Tidak Permanen,Sumur,PLN,Ada,Petani,Sewa,1,1,0,1,0,0,1,80,Sangat Miskin,Bantuan Sembako
5,5126664,Permanen,PAM,Tidak Ada,Ada,Pedagang Kecil,Kontrak,0,0,0,0,1,1,0,30,Rentan Miskin,BLT
5,1926555,Permanen,Sungai,PLN,Tidak Ada,Pegawai Swasta,Kontrak,1,0,1,1,0,0,0,70,Sangat Miskin,Bantuan Sembako
3,3026841,Tidak Permanen,PAM,PLN,Ada,Pedagang Kecil,Kontrak,1,1,1,0,1,0,1,65,Miskin,PKH
3,9253156,Tidak Permanen,Sungai,Tidak Ada,Ada,Pegawai Swasta,Sewa,0,0,1,1,1,1,1,45,Rentan Miskin,BLT
4,1587338,Tidak Permanen,Sumur,Tidak Ada,Tidak Ada,Pedagang Kecil,Kontrak,1,0,1,1,1,1,1,65,Miskin,PKH
3,3362758,Semi Permanen,Sumur,PLN,Tidak Ada,Pegawai Swasta,Sewa,1,0,1,0,1,0,0,55,Miskin,PKH
3,2257228,Permanen,Sumur,Listrik Non-PLN,Ada,Pedagang Kecil,Kontrak,1,0,1,1,0,0,0,65,Miskin,PKH
5,6867252,Semi Permanen,PAM,Tidak Ada,Tidak Ada,Pedagang Kecil,Milik Sendiri,0,0,0,0,1,1,0,25,Tidak Miskin,Tidak Layak Menerima
4,2070729,Tidak Permanen,Sumur,PLN,Tidak Ada,Pegawai Swasta,Milik Sendiri,1,0,0,1,1,0,1,70,Sangat Miskin,Bantuan Sembako
1,751128,Permanen,PAM,PLN,Ada,Petani,Milik Sendiri,1,1,1,0,0,0,0,50,Miskin,PKH
5,7818757,Permanen,Sungai,PLN,Tidak Ada,Buruh Harian Lepas,Kontrak,0,0,1,1,1,0,0,40,Rentan Miskin,BLT
5,2713160,Tidak Permanen,Sungai,PLN,Ada,Pegawai Swasta,Kontrak,1,0,1,0,0,0,1,90,Sangat Miskin,Bantuan Sembako
4,6653014,Semi Permanen,PAM,Tidak Ada,Ada,Petani,Sewa,0,1,0,0,1,1,0,15,Tidak Miskin,Tidak Layak Menerima
3,2550450,Permanen,Sumur,PLN,Tidak Ada,Pegawai Swasta,Kontrak,1,0,0,0,0,0,0,65,Miskin,PKH
1,2171927,Tidak Permanen,Sungai,Tidak Ada,Ada,Petani,Sewa,1,0,1,1,1,1,1,65,Miskin,PKH
5,2383813,Permanen,Sungai,Listrik Non-PLN,Ada,Buruh Harian Lepas,Kontrak,1,1,1,1,1,0,0,50,Miskin,PKH
7,5782548,Tidak Permanen,Sumur,Tidak Ada,Tidak Ada,Pegawai Swasta,Milik Sendiri,0,1,0,1,1,1,1,35,Rentan Miskin,BLT
5,3873771,Tidak Permanen,PAM,Listrik Non-PLN,Ada,Pegawai Swasta,Kontrak,1,0,0,0,0,0,1,90,Sangat Miskin,Bantuan Sembako
